pa_ms,pa_anvisa_sim,dist_lev,tipo
N - PHOSPHONOMETHYI,FOSMETE,10.0,princípio ativo
"DICLOROFENOXICETICO 2,4",DICLOFOPE - METILICO,9.0,princípio ativo
ANTECOLINESTEROICO,ACIDO ESTEARICO,9.0,princípio ativo
AC. DICLOROFENOXIACETICO,CLOROAROMATICO,9.0,grupo químico
ANTIINFLAMATORIO,ANTRANILAMIDA,9.0,grupo químico
ANTICARRAPATICIDA,MANDIPROPAMIDA,9.0,princípio ativo
DICLOROFERAXIACETICO,CLOROAROMATICO,9.0,grupo químico
PIRIDINOLOXICANOICO,ACIDO INDOLALCANOICO,9.0,grupo químico
CICLODIENOCLORADO,ACETOCLORO,9.0,princípio ativo
ANTICOAGULANTES,NICOSSULFUROM,9.0,princípio ativo
METHYLCARBAMAYAXEY,DIMETILCARBAMATO,9.0,grupo químico
ACETILCOLINESTERASICO,ACIDO ESTEARICO,9.0,princípio ativo
ACETILCOLINESTERASE,ACETATO INSATURADO,9.0,grupo químico
NITROIMIDAZOLIDIM,ETRIDIAZOL,9.0,princípio ativo
METHYCARBAMAYLOXIL,DIMETILCARBAMATO,9.0,grupo químico
SAL DE ISOPROPELAMENCE,ESPIROMESIFENO,9.0,princípio ativo
POLIOXIETILENOAMINA,PIRILETILAMIDA,9.0,grupo químico
ANTICOLLENESTERASICO,ACIDO ESTEARICO,9.0,princípio ativo
ANTECOLUOSBERZICO,ACIDO BORICO,9.0,princípio ativo
AMBICOLUNESFERAFICO,ACIDO ESTEARICO,9.0,princípio ativo
MONOFLUORACETATO,FLUVALINATO,9.0,princípio ativo
SAL ISOLPROFILAMINADE,ESTROBILURINA,9.0,grupo químico
ANTICOLINESITRASICO,ACIDO ESTEARICO,9.0,princípio ativo
ALUTICELNESTERAXICO,ACIDO ESTEARICO,9.0,princípio ativo
ANTICOLINESFERAGICO,ACIDO ESTEARICO,9.0,princípio ativo
DICLOFENOXIACETICO,DICLOFOPE - METILICO,9.0,princípio ativo
LIPOGLICEMIANTE,AVIGLICINA,9.0,princípio ativo
N- PHOPHIONOMETHYL,PROPICONAZOL,9.0,princípio ativo
AUTICOLINOSTERASICO,ACIDO LINOLEICO,9.0,princípio ativo
PHOSPHONOMETHY,FOSMETE,9.0,princípio ativo
DICLOFEROXIACETICO,DICLOFOPE - METILICO,9.0,princípio ativo
ANTICOLINESTERASICOS,ACIDO ESTEARICO,9.0,princípio ativo
ANTICONLINESTERASICO,ACIDO ESTEARICO,9.0,princípio ativo
ANTICOLESNESTERASICO,ACIDO ESTEARICO,9.0,princípio ativo
DICLOFENAXIACETICO,DICLOFOPE - METILICO,9.0,princípio ativo
DICLOROFINOXIACITICO,CLOROAROMATICO,9.0,grupo químico
DIMETHYLBENZOFURAN 7 YL,DINOTEFURAN,9.0,princípio ativo
DICLOROFENOXIACETICO,CLOROAROMATICO,9.0,grupo químico
ANTICOLUNESFERASICO,ACIDO ESTEARICO,9.0,princípio ativo
DICLOROFENOXIACIDO,CLORFENAPIR,9.0,princípio ativo
"2,4 DICLOROFENOXIACETICO",CLOROAROMATICO,9.0,grupo químico
CICLOROFENOXIACETICO,CLOROAROMATICO,9.0,grupo químico
ANTICOAGULANTE,DICLOSULAM,9.0,princípio ativo
ANTICOLINESFERASICO,ACIDO ESTEARICO,9.0,princípio ativo
NAO SABE QUAL,CLORMEQUATE,9.0,princípio ativo
DICLOROFENOXICETICO,DICLOFOPE - METILICO,9.0,princípio ativo
METHYLCARBOMAYLOXY,DIMETILCARBAMATO,9.0,grupo químico
SAL DE ISOPROPILAMINIDE NAO(FOSFOMONETIL)GLICINA,AMINOPIRALIDE,9.0,princípio ativo
FURY 400 CE,CARTAPE,9.0,princípio ativo
ZAPP QI 620,AVIGLICINA,9.0,princípio ativo
ZAPP Q1 620,CAPTANA,9.0,princípio ativo
"2,4 D SAL DE TRIISOPROPANOLANIM","2,4 - D - TRIISOPROPANOLAMINA",9.0,princípio ativo
ANTICOLINESTERASIO,ACIDO ESTEARICO,9.0,princípio ativo
ANTICOLUNESBERASICO,ACIDO ESTEARICO,9.0,princípio ativo
EMULCIFICANTE,ALANICARBE,8.0,princípio ativo
N PHOSPHONAMETTY,FOSFONATO,8.0,grupo químico
METHYLBIPHENYL,METOPRENO,8.0,princípio ativo
HIDROXICUMARINAS,CIROMAZINA,8.0,princípio ativo
DDT DDD DDE,"2,4 - D",8.0,princípio ativo
DIMETHYLAMMOXIUM,DIMETENAMIDA,8.0,princípio ativo
ANTICOLINESTRASICO,ACIDO ESTEARICO,8.0,princípio ativo
DIMETHYLAMMONIUM,DIMETENAMIDA,8.0,princípio ativo
PHOSPHORATHOAT,FOSFONATO,8.0,grupo químico
ANTICOLURESTERASICO,ACIDO ESTEARICO,8.0,princípio ativo
PIRIRDINOCARBOXILIC,ACIDO PIRIDINOCARBOXILICO,8.0,grupo químico
NAO SABE NOME,NOVALUROM,8.0,princípio ativo
ANTICOLENESTERASICO,ACIDO ESTEARICO,8.0,princípio ativo
BENZODIAZEPINICO,BENZILADENINA,8.0,princípio ativo
DEXFORFENIRAMINA,DIFLUFENICAM,8.0,princípio ativo
DI ALKYLANMONIUM,ACLONIFEM,8.0,princípio ativo
METHOAMIDOPHOR,FENAMIDONA,8.0,princípio ativo
DIMETHYLAMNONIUM,DIMETENAMIDA,8.0,princípio ativo
ANTICOLINESTERASICO,ACIDO ESTEARICO,8.0,princípio ativo
FLENOXIBENZIL22,METOXIFENOZIDA,8.0,princípio ativo
QUINOMETHIONATE,CINETINA,8.0,princípio ativo
ANTIGLINESTERASICO,ACIDO ESTEARICO,8.0,princípio ativo
METHILCARBAMOYLOXI,DIMETILCARBAMATO,8.0,grupo químico
SAL DE ISOPROPELAMENA DE N,BUPROFENZINA,8.0,princípio ativo
METHALARSOMATE,METAMITRONA,8.0,princípio ativo
ANTICOLANESTERASICO,ACIDO ESTEARICO,8.0,princípio ativo
LORSBAN480B,BOSCALIDA,8.0,princípio ativo
EMULFICICANTE,ALANICARBE,8.0,princípio ativo
PLOSPHONOMETIL,FOSETIL,8.0,princípio ativo
ANTICOLENESTERAGICO,ACIDO ESTEARICO,8.0,princípio ativo
DDD DDE DDT,"2,4 - D",8.0,princípio ativo
FENOSCISCETICOS,FENOTIOL,8.0,princípio ativo
LAMBDACYALDTHRAN,LAMBDA - CIALOTRINA,8.0,princípio ativo
POLO 500 PM,CLORIMUROM,8.0,princípio ativo
ANTICOLINESTERAGICO,ACIDO ESTEARICO,8.0,princípio ativo
ANTICOLINESTERASICO,ACIDO ESTEARICO,8.0,princípio ativo
DM A 806 BR,DICAMBA,8.0,princípio ativo
KLOR PAN 480 E C,CLORPIRIFOS,8.0,princípio ativo
ANTIDEPRESSIVO,ANTIBIOTICO,8.0,grupo químico
ANTICOLENESTERAGICO,ACIDO ESTEARICO,8.0,princípio ativo
BIM 500 SC,BIFENTRINA,8.0,princípio ativo
BORD 500 SC,SORDIDIM,8.0,princípio ativo
PHENAXYBENZIL,BENALAXIL,8.0,princípio ativo
ANTIBARASITARIO,ACILALANINATO,8.0,grupo químico
AMBICOMOSFERASICO,ACIDO ESTEARICO,8.0,princípio ativo
ANTICOLENESTERASICO,ACIDO ESTEARICO,8.0,princípio ativo
PHENOXYBENZIL,CIMOXANIL,8.0,princípio ativo
DICLOROFEROXIACETICO,CLOROAROMATICO,8.0,grupo químico
GLIZ 480 SL,GLIFOSATO,8.0,princípio ativo
GLIZ 480 SL,GLIFOSATO,8.0,princípio ativo
RINEQUICAPIR,CINETINA,7.0,princípio ativo
"N-(FOSFONOMETIL) GLICINA,C3H8NO5P)",CLETODIM,7.0,princípio ativo
ALGUIIBENZENO,QUINTOZENO,7.0,princípio ativo
OXITETRACICLINA+SULF DE ESTREPTOMICINA,FLUMETRALINA,7.0,princípio ativo
ANTECOLMESTEASICO,ACIDO ESTEARICO,7.0,princípio ativo
DESCONHECIDA,BOSCALIDA,7.0,princípio ativo
ESPINTOVAN120G/L,ESPINETORAM,7.0,princípio ativo
ANTIFERRRUGEM,ACIFLUORFEM,7.0,princípio ativo
CHAPEUZINHO,ABAMECTINA,7.0,princípio ativo
INASPECIFICO,INORGANICO,7.0,grupo químico
CLOROCORLODIENO,CLOROTALONIL,7.0,princípio ativo
SAL ISOLPROPILAMINA DEN (PHOSPHNOMENTIL)GLICINE,ESTROBILURINA,7.0,grupo químico
ZAPPQI620,CAPTANA,7.0,princípio ativo
METHAMIDOPHOS,FENAMIFOS,7.0,princípio ativo
INDETERMINADO,AMETRINA,7.0,princípio ativo
ANTICOLINERGICO,ACIDO LINOLEICO,7.0,princípio ativo
ANTI DEPRESSIVO,DIMETOATO,7.0,princípio ativo
DISENILETER,DINOCAPE,7.0,princípio ativo
THISACETIMIDATE,ACETAMIDA,7.0,grupo químico
HIDROXICUMARINICO,CUMARINICO,7.0,grupo químico
FOSFORODITIOATO,FOSFONATO,7.0,grupo químico
FENIXIACETICOS,FENAMIFOS,7.0,princípio ativo
LAMBDACYHALOTHRIN,LAMBDA - CIALOTRINA,7.0,princípio ativo
DICHLOROPHENOXY,DICLOFOPE,7.0,princípio ativo
CORTRAPATICIDA,CARBOXANILIDA,7.0,grupo químico
POLISSUQUI,LINUROM,7.0,princípio ativo
"2,4-DICHLOROPHENOXY",DICLOFOPE,7.0,princípio ativo
FENOXIACETICOS,FENAMIFOS,7.0,princípio ativo
ANTICOLMESTERASICO,ACIDO ESTEARICO,7.0,princípio ativo
NAO INDENTIFICADO,INDAZIFLAM,7.0,princípio ativo
CHLORIMURONETHYL,CLORIMUROM,7.0,princípio ativo
COLINESTERASE,CINETINA,7.0,princípio ativo
ERITHROXYLIM COCA,ETIPROLE,7.0,princípio ativo
NAO DESCRIMINADO,ESPINOSADE,7.0,princípio ativo
BENZOADIPINICO,BENZILADENINA,7.0,princípio ativo
ANTICOLNESTERADICO,ACIDO ESTEARICO,7.0,princípio ativo
ANTICOLIMESTERARICO,ACIDO ESTEARICO,7.0,princípio ativo
NITROFURAZONE,CIROMAZINA,7.0,princípio ativo
PENTACLOROFENOL,DINITROFENOL,7.0,grupo químico
TRICLOROPICOLINICO,ARILPICOLINATO,7.0,grupo químico
DEXCLORFERAMINA,CLORFENAPIR,7.0,princípio ativo
CLOROCICLODIENO,CLOROTALONIL,7.0,princípio ativo
THIOACETIMIDATE,ACETAMIDA,7.0,grupo químico
ANTICOLINERGICO,ACIDO LINOLEICO,7.0,princípio ativo
ANTICOLITESTERARICO,ACIDO ESTEARICO,7.0,princípio ativo
ZAPPQ1620,CAPTANA,7.0,princípio ativo
HIDROXIAMALINAS,CIROMAZINA,7.0,princípio ativo
GLICOSATOATANOR,GLIFOSATO,7.0,princípio ativo
GRANOQUISIONE,GRANDLURE,7.0,princípio ativo
STOY 40SC,ETOXAZOL,7.0,princípio ativo
PLENOXBENZ(1RS3RS1RS),ETOPROFOS,7.0,princípio ativo
METOLMIDAPHES,METOMIL,7.0,princípio ativo
NAO IDENTIFICADO,BIFENTRINA,7.0,princípio ativo
OGURUSFOFORATO,GLUFOSINATO,7.0,princípio ativo
CRICLOROPICOLINICO,ARILPICOLINATO,7.0,grupo químico
PROPILENOGLICOL,PROPICONAZOL,7.0,princípio ativo
ANTI INFLAMATORIO,ALACLORO,7.0,princípio ativo
ANTICOLNESTERASICO,ACIDO ESTEARICO,7.0,princípio ativo
DMA 806 BR,IMAZAPIR,7.0,princípio ativo
ERITHROXYLIM,ETIPROLE,7.0,princípio ativo
CODA SUL PH,ASULAM,7.0,princípio ativo
ORTHENE750,PROFENOFOS,7.0,princípio ativo
NORTRIPTILINA,BUTRALINA,7.0,princípio ativo
BETACYFELTRIN,BIFENTRINA,7.0,princípio ativo
ILIDENEAMINO,BIFENTRINA,7.0,princípio ativo
NITROFORMICIDA,CIAZOFAMIDA,7.0,princípio ativo
ARILOXIALCAROICO,ACIDO ARILOXIALCANOICO,7.0,grupo químico
SH 2000,ACEFATO,7.0,princípio ativo
GLICOSATOATANOR,GLIFOSATO,7.0,princípio ativo
MEDICAMENTOS,DECANOL,7.0,princípio ativo
NAO IDENTIFICADO,BIFENTRINA,7.0,princípio ativo
RODENTICIDAS,BIFENTRINA,7.0,princípio ativo
YLIDENEAMINE,BIFENTRINA,7.0,princípio ativo
TOP UP 48,"2,4 - D",7.0,princípio ativo
BULOXYTHYL,CIMOXANIL,7.0,princípio ativo
2.4 D 826 G/L,"2,4 - D",7.0,princípio ativo
DESCONHECIDO,METALDEIDO,7.0,princípio ativo
FENOXIACETICO,FENOTIOL,7.0,princípio ativo
DMA 480 BR,IMAZAPIR,7.0,princípio ativo
"2,4-DICHLOROPHENOXY",DICLOFOPE,7.0,princípio ativo
MATA MATO NAO IDENTIFICADO,BIFENTRINA,7.0,princípio ativo
DESCONHECIDO,METALDEIDO,7.0,princípio ativo
BIOTNSET2.5,CINETINA,7.0,princípio ativo
CIPROFLOXACINO,CIROMAZINA,7.0,princípio ativo
INSETIMASTER,CINETINA,7.0,princípio ativo
FENOXIACETICO,FENOTIOL,7.0,princípio ativo
CLOROBENZENO,BUPROFENZINA,6.0,princípio ativo
RODENTICIDA,BIFENTRINA,6.0,princípio ativo
SAL DE ISOPROPILAMINA DE N FOLSFONOMETIL,FOSETIL,6.0,princípio ativo
AGROTOXICOS,PROFOXIDIM,6.0,princípio ativo
INSENTICIDA,BIFENTRINA,6.0,princípio ativo
CONCENTRADO EMULSEONAVEL,ACETATO,6.0,grupo químico
ARYANOCLORADA,ORGANOBROMADO,6.0,grupo químico
ETHYLPROPYL,ETIPROLE,6.0,princípio ativo
EXCIPIENTE 100%,FOLPETE,6.0,princípio ativo
OLEO DE NEEN,OLEO MINERAL,6.0,princípio ativo
AGROTOXICO NAO DETERMINADO,AMETRINA,6.0,princípio ativo
FENAZOPIRIDINA,FENAMIDONA,6.0,princípio ativo
GLIUSIMAX,DIUROM,6.0,princípio ativo
ESCOPOLAMINA,CIROMAZINA,6.0,princípio ativo
ESITALOPRAN,DICLORANA,6.0,princípio ativo
SEM INFORMACOES,INORGANICO,6.0,grupo químico
GRAMUCHANY,ABAMECTINA,6.0,princípio ativo
SANMILEQUE,MANCOZEBE,6.0,princípio ativo
COMPLEXANTE MEA,CIMOXANIL,6.0,princípio ativo
GRAMASSATI,GLIFOSATO,6.0,princípio ativo
BAYSISTON,ACEFATO,6.0,princípio ativo
SURFACTANTE POLIOXIETILENOAMINA,PARAQUATE,6.0,princípio ativo
"2,4 DICHLOROPHENOXYACETC ACID 2,4-D,SAL TRISOPROPILAMINA","2,4 - D",6.0,princípio ativo
NEW MOET,DECANOL,6.0,princípio ativo
INDOCLOPINE,DINOCAPE,6.0,princípio ativo
NAO ENCONTRADO,ESPINOSADE,6.0,princípio ativo
GRAMOSCONI,FAMOXADONA,6.0,princípio ativo
INIBIDORES DE ACETILCOLINESTERASE,PIRIDABEM,6.0,princípio ativo
"2,4 DICLORO-FENOXIACETICO",ACETOCLORO,6.0,princípio ativo
TRINORBORN 5,LINUROM,6.0,princípio ativo
SAL DE ISOPROPLAMIDA 480,MANDIPROPAMIDA,6.0,princípio ativo
"ZENSOATIVAS,AMINA TENSOATIVAS",FENAMIFOS,6.0,princípio ativo
OLEO DE NEEM,OLEO MINERAL,6.0,princípio ativo
THIOPHANATE METHYL+CHLOROTHAL,CLOROTALONIL,6.0,princípio ativo
CHUNBINHO,CINETINA,6.0,princípio ativo
SAL DE TIETANOLAMINA,CIAZOFAMIDA,6.0,princípio ativo
DALBRIOTOP,ALACLORO,6.0,princípio ativo
W-FOSFONOMETIL C3H8NO5P,DECANOL,6.0,princípio ativo
ISOPROPILAMINA,ESTROBILURINA,6.0,grupo químico
METRIFORIATO,ETRIDIAZOL,6.0,princípio ativo
MONOCRATOFOS,ETOPROFOS,6.0,princípio ativo
ANTICOLESTERASICO,ACIDO ESTEARICO,6.0,princípio ativo
ENSUSSULFAN,CARBOSULFANO,6.0,princípio ativo
AZINPHOSETIL,FOSETIL,6.0,princípio ativo
MEDICAMENTO PARA CIRCULACAO,DICAMBA,6.0,princípio ativo
SAL DE ISOPROPILAMINA DE N,ESTROBILURINA,6.0,grupo químico
"N - FOSFONOMETILGLICINA,C3H8N05P",CETONA,6.0,grupo químico
CHUMBINHO.,CUMARINICO,6.0,grupo químico
"2,4 DSAL TRISOPROPANOLAMINA","2,4 - D - TRIISOPROPANOLAMINA",6.0,princípio ativo
CONSERVANTE,CLORMEQUATE,6.0,princípio ativo
PRIORIEXTRA,PROMETRINA,6.0,princípio ativo
HELMOXONE,BENTAZONA,6.0,princípio ativo
HERBICIDA(NAO SISTEMICO) PULVERIZAR,PROMETRINA,6.0,princípio ativo
INSDETICIDA,CINETINA,6.0,princípio ativo
CHUMBIMHO,CARBIMIDA,6.0,grupo químico
OLEO JANT,OLEO MINERAL,6.0,princípio ativo
PRAGUICIDAS,AVIGLICINA,6.0,princípio ativo
SAL DE ISOPROPILOMONA,IPRODIONA,6.0,princípio ativo
BENZODIOZEPINA,BENZILADENINA,6.0,princípio ativo
MONOCROTOFOS,ETOPROFOS,6.0,princípio ativo
CICLOBENZAPRINA,CICLOHEXADIONA,6.0,grupo químico
ISOPROPILANINA,ESTROBILURINA,6.0,grupo químico
0 - H8TROPHENYL PLOSPHOROTHIOA,PROPANIL,6.0,princípio ativo
ENDORULFAN,CARBOSULFANO,6.0,princípio ativo
PREDNISOLONA,IPRODIONA,6.0,princípio ativo
FLORPIRAUXIFEN,CLORPIRIFOS,6.0,princípio ativo
CARRAPATECIDA,CARBOXANILIDA,6.0,grupo químico
METANIDOPHOS,METANOL,6.0,princípio ativo
SAL DE ISOPROPILAMINA DE N + (FOSFONOMETIL) GLICINA.........,ESTROBILURINA,6.0,grupo químico
ROUNDESP WG,DODINA,6.0,princípio ativo
CARLEOFURAM,CARBENDAZIM,6.0,princípio ativo
SAL DE ISOPROPILAMINA,ESTROBILURINA,6.0,grupo químico
DIMETHYLUREA,DIMETOMORFE,6.0,princípio ativo
LAMBDACUILATRINA,LAMBDA - CIALOTRINA,6.0,princípio ativo
AMBICOLURE,ALACLORO,6.0,princípio ativo
AGROTOXICO INDETERMINADO,CARBOXINA,6.0,princípio ativo
CHUBINHO,CARBOXINA,6.0,princípio ativo
PULVERIZAR,PROMETRINA,6.0,princípio ativo
ZETACYPERMETHRIN,ZETA - CIPERMETRINA,6.0,princípio ativo
HERLUCEDAS,TERBUFOS,6.0,princípio ativo
FOSFONOMETRIL,FOSETIL,6.0,princípio ativo
AGROTOXICO NAO IDENTIFICADO,CARBOXINA,6.0,princípio ativo
ACIBENZOLAR,ACIDO BENZOICO,6.0,grupo químico
ROUNDOUP,DODINA,6.0,princípio ativo
ARILOXIALCANOICO,ACIDO ARILOXIALCANOICO,6.0,grupo químico
FORFONOMETIL,FOSETIL,6.0,princípio ativo
BUTILBROMETO DE ESCOPOLAMINA,CIROMAZINA,6.0,princípio ativo
NONILFENOXI POLI,ETILENO,6.0,grupo químico
NAO SABE ESPECIFICAR,EMPENTRINA,6.0,princípio ativo
MELAMIDOPHOS,FENAMIFOS,6.0,princípio ativo
BENZODIAZEPINAS,BENZILADENINA,6.0,princípio ativo
VECTORCONTROL,METCONAZOL,6.0,princípio ativo
DESCONHECE,DECANOL,6.0,princípio ativo
DIAZEPENICO,DIAZINONA,6.0,princípio ativo
DICHLOROPHENOX,DICLOFOPE,6.0,princípio ativo
COLINERGICO,CINETINA,6.0,princípio ativo
APLIQUE21,DIQUATE,6.0,princípio ativo
AMITRIPTILINA,AMETRINA,6.0,princípio ativo
DON AGRO SCIENCES,ACEFATO,6.0,princípio ativo
ANTI PARASITARIOS,PRALETRINA,6.0,princípio ativo
DIMETHYLAMMONIUM 24- DICLOPHENOXY,DICLORANA,6.0,princípio ativo
METYLARSONATO,METIDATIONA,6.0,princípio ativo
ERYTROXYLON COCA,ETOXAZOL,6.0,princípio ativo
ROUNDOUP,DODINA,6.0,princípio ativo
HIDROXILAMINA,CIROMAZINA,6.0,princípio ativo
ORQUESTRA,CUELURE,6.0,princípio ativo
ANGIOPLENE,MANCOZEBE,6.0,princípio ativo
GLISOFULVINA,GIBERELINA,6.0,grupo químico
SURFACTANTE,PARAQUATE,6.0,princípio ativo
PREMIPRUS,AMITRAZ,6.0,princípio ativo
N -FOSFANOMITIL,FOSETIL,6.0,princípio ativo
ASTERACEAL,ATRAZINA,6.0,princípio ativo
SUBSTANCIA NAO IDENTIFICADA,CAPTANA,6.0,princípio ativo
ANBICOLINOS,TANINOS,6.0,princípio ativo
FENOXIBENZIL,EPOXICONAZOL,6.0,princípio ativo
TROCETIMIDATO,PROCIMIDONA,6.0,princípio ativo
METILPRIRIFOS,CLORPIRIFOS,6.0,princípio ativo
CONCENTRADO EMULSIONAVEL,ACETATO,6.0,grupo químico
GRAMATISSOM,AZAMETIFOS,6.0,princípio ativo
ROUNDUPS,CUELURE,6.0,princípio ativo
LAMBDACYHALOTRIN,LAMBDA - CIALOTRINA,6.0,princípio ativo
ROUNCHUP,BROMACILA,6.0,princípio ativo
BUTILGLICOL,BUTRALINA,6.0,princípio ativo
INIBIDORES DO COLINESPERASE,PIRIDABEM,6.0,princípio ativo
OLEO DE NIN,OLEO VEGETAL,6.0,princípio ativo
MONSPILON,FOSFINA,6.0,princípio ativo
ANTIALERGIA,ANILIDA,6.0,grupo químico
NAO ESPECIFICADO,ESPINOSADE,6.0,princípio ativo
FERTILIZANTE,FOSTIAZATO,6.0,princípio ativo
ROUNDUPDI,SORDIDIM,6.0,princípio ativo
CYMPERATOR,ACEFATO,6.0,princípio ativo
MEDICAMENTO NAO ESPECIFICADO,DICAMBA,6.0,princípio ativo
CHUIMBINHO,CUMARINICO,6.0,grupo químico
HOUNDUP,ASULAM,6.0,princípio ativo
HELUOXONE,BENTAZONA,6.0,princípio ativo
CHUBINHO,CARBOXINA,6.0,princípio ativo
TOUCHDOWN,FLURIDONA,6.0,princípio ativo
ROCENDUP,ACEFATO,6.0,princípio ativo
CHUNBINHO,CINETINA,6.0,princípio ativo
CUPROGARB,CARTAPE,6.0,princípio ativo
TIOCHDOWM,DIUROM,6.0,princípio ativo
OPUS 80,ASULAM,6.0,princípio ativo
CHUMBUNHO,CUELURE,6.0,princípio ativo
CHUNIBINLO,CINETINA,6.0,princípio ativo
CHUMBIMNHO,CARBIMIDA,6.0,grupo químico
OXISUPER FERTILIZANTE,ASULAM,6.0,princípio ativo
ACTARAPLUS,ATRAZINA,6.0,princípio ativo
GLIZ 800,GLIFOSATO,6.0,princípio ativo
"AGROTOXICO 2,4 -D",CARBOXINA,6.0,princípio ativo
CHUMBINHO.,CUMARINICO,6.0,grupo químico
DMA 806,AMITRAZ,6.0,princípio ativo
BULLDOCK 125,CUELURE,6.0,princípio ativo
CELESTRAT,AMITRAZ,6.0,princípio ativo
GRAMACHONE 200,ABAMECTINA,6.0,princípio ativo
AGROTOXICOS,PROFOXIDIM,6.0,princípio ativo
HERLUCEDAS,TERBUFOS,6.0,princípio ativo
ROUND'UP,DODINA,6.0,princípio ativo
HELMOSCONE,HEXAZINONA,6.0,princípio ativo
COMMANCHE 200 CE,CLOMAZONA,6.0,princípio ativo
NAO ESPECIFICADO,ESPINOSADE,6.0,princípio ativo
IMPUSSIVE 250 WP,IMAZAPIR,6.0,princípio ativo
MEDICAMENTO NAO ESPECIFICADO,DICAMBA,6.0,princípio ativo
ZAPP 620,CAPTANA,6.0,princípio ativo
ESTIMULANTE NIM,DIQUATE,6.0,princípio ativo
GLIFONOTOPLUS,GLIFOSATO,6.0,princípio ativo
CUPROGARB 500,CARTAPE,6.0,princípio ativo
ORGANUTSA,TRIAZINA,6.0,grupo químico
PESTICIDAS,BOSCALIDA,6.0,princípio ativo
AMITRIPTILINA,AMETRINA,6.0,princípio ativo
FUUROSAIDE,FOSMETE,6.0,princípio ativo
