pa_ms,pa_anvisa_sim,dist_lev,tipo
LIPOGLICEMIANTE,AVIGLICINA,9.0,princípio ativo
DICLOFENAXIACETICO,DICLOFOPE - METILICO,9.0,princípio ativo
MATA MATO N║ 46,METAMITRONA,9.0,princípio ativo
ANTICOLLENESTERASICO,ACIDO ESTEARICO,9.0,princípio ativo
ANTICONLINESTERASICO,ACIDO ESTEARICO,9.0,princípio ativo
INSETICIDAPARA SOJA,CINETINA,9.0,princípio ativo
CICLOROFENOXIACETICO,CLOROAROMATICO,9.0,grupo químico
SAL ISOLPROFILAMINADE,ISOPROCARBE,9.0,princípio ativo
N- PHOPHIONOMETHYL,PROPICONAZOL,9.0,princípio ativo
DICLOROFENOXICETICO,DICLOFOPE - METILICO,9.0,princípio ativo
ANTICOLUNESFERASICO,ACIDO ESTEARICO,9.0,princípio ativo
ZAPP Q1 620,CAPTANA,9.0,princípio ativo
METHYLCARBAMAYAXEY,DIMETILCARBAMATO,9.0,grupo químico
METHYLCARBOMAYLOXY,DIMETILCARBAMATO,9.0,grupo químico
GRAMOPRIMORDIAL,PROPICONAZOL,9.0,princípio ativo
DICLOROFENOXOACETICO,CLOROAROMATICO,9.0,grupo químico
AMBICOLUNESFERAFICO,ACIDO ESTEARICO,9.0,princípio ativo
DIMETHYLBENZOFURAN 7 YL,DINOTEFURAN,9.0,princípio ativo
ROUNDUPALIFORATO,FLUVALINATO,9.0,princípio ativo
ANTICOLINESITRASICO,ACIDO ESTEARICO,9.0,princípio ativo
NAO SABE O TIPO,ANTIBIOTICO,9.0,grupo químico
ACETILCOLINESTERASE,ACETATO INSATURADO,9.0,grupo químico
NAO SABE QUAL,CLORMEQUATE,9.0,princípio ativo
"2,4 DICLOROFENOXIACETICO",CLOROAROMATICO,9.0,grupo químico
DICLOFENOXIACETICO,DICLOFOPE - METILICO,9.0,princípio ativo
AC. DICLOROFENOXIACETICO,CLOROAROMATICO,9.0,grupo químico
NITROIMIDAZOLIDIM,ETRIDIAZOL,9.0,princípio ativo
CICLODIENOCLORADO,ACETOCLORO,9.0,princípio ativo
DICLOFEROXIACETICO,DICLOFOPE - METILICO,9.0,princípio ativo
ANTICOLESNESTERASICO,ACIDO ESTEARICO,9.0,princípio ativo
DICLOROFINOXIACITICO,CLOROAROMATICO,9.0,grupo químico
AUTICOLINOSTERASICO,ACIDO LINOLEICO,9.0,princípio ativo
POLIOXIETILENOAMINA,PIRILETILAMIDA,9.0,grupo químico
DIMELHYLAMMONIUM,DIMETENAMIDA,9.0,princípio ativo
ANTICOLINESFERASICO,ACIDO ESTEARICO,9.0,princípio ativo
ACETILCOLINESTERASICO,ACIDO ESTEARICO,9.0,princípio ativo
PIRIDINOLOXICANOICO,ACIDO INDOLALCANOICO,9.0,grupo químico
TALSTER.AQUITAR,ATRAZINA,9.0,princípio ativo
COLOSSO(INSETICIDA,CLOROACETAMIDA,9.0,grupo químico
ANTICOAGULANTES,NICOSSULFUROM,9.0,princípio ativo
ZAPP QI 620,AVIGLICINA,9.0,princípio ativo
DDT DDD DDE,"2,4 - D",8.0,princípio ativo
GLIZ 480 SL,GLIFOSATO,8.0,princípio ativo
ANTICOLINESTERAGICO,ACIDO ESTEARICO,8.0,princípio ativo
METHILCARBAMOYLOXI,DIMETILCARBAMATO,8.0,grupo químico
DI ALKYLANMONIUM,ACLONIFEM,8.0,princípio ativo
MATA MATO ZAAP,METAMITRONA,8.0,princípio ativo
PIRIRDINOCARBOXILIC,ACIDO PIRIDINOCARBOXILICO,8.0,grupo químico
DICLOROFEROXIACETICO,CLOROAROMATICO,8.0,grupo químico
FURY 400 CE,FYOMONE,8.0,princípio ativo
EMULFICICANTE,ALANICARBE,8.0,princípio ativo
LORSBAN480B,BOSCALIDA,8.0,princípio ativo
DIMETHYLAMMONIUM,DIMETENAMIDA,8.0,princípio ativo
NAO SABE NOME,NOVALUROM,8.0,princípio ativo
ANTIGLINESTERASICO,ACIDO ESTEARICO,8.0,princípio ativo
24 B MATA MATO,FORMETANATO,8.0,princípio ativo
FLENOXIBENZIL22,METOXIFENOZIDA,8.0,princípio ativo
CARRAPATICIDA...,CARPROPAMIDA,8.0,princípio ativo
HIDROXICUMARINAS,CIROMAZINA,8.0,princípio ativo
IPERMEABILIZANTE,IPROVALICARBE,8.0,princípio ativo
POLO 500 PM,CLORIMUROM,8.0,princípio ativo
BIM 500 SC,BIFENTRINA,8.0,princípio ativo
SEM IDENTIFICACAO,BIFENTRINA,8.0,princípio ativo
PHENOXYBENZIL,CIMOXANIL,8.0,princípio ativo
DDD DDE DDT,"2,4 - D",8.0,princípio ativo
FENOSCISCETICOS,FENOTIOL,8.0,princípio ativo
ANTICOLINESTRASICO,ACIDO ESTEARICO,8.0,princípio ativo
DM9 806 BR,"2,4 - D",8.0,princípio ativo
PHENAXYBENZIL,BENALAXIL,8.0,princípio ativo
ANTICOLENESTERAGICO,ACIDO ESTEARICO,8.0,princípio ativo
ANTIBARASITARIO,ACILALANINATO,8.0,grupo químico
LAMBDACYALDTHRAN,LAMBDA - CIALOTRINA,8.0,princípio ativo
BORD 500 SC,SORDIDIM,8.0,princípio ativo
ZAOO QI 620,ZOXAMIDA,8.0,princípio ativo
DIMETHYLANMONIUM,DIMETENAMIDA,8.0,princípio ativo
KLOR PAN 480 E C,CLORPIRIFOS,8.0,princípio ativo
METHALARSOMATE,METAMITRONA,8.0,princípio ativo
EMULCIFICANTE,ALANICARBE,8.0,princípio ativo
MATA MATO SIC,IMAZAMOXI,8.0,princípio ativo
SAL DE ISOPROPILAMINIDE NAO(FOSFOMONETIL)GLICINA,CARPROPAMIDA,8.0,princípio ativo
ANTICOLURESTERASICO,ACIDO ESTEARICO,8.0,princípio ativo
DIMETHYLAMMOXIUM,DIMETENAMIDA,8.0,princípio ativo
DIMETHYLLAMONIUM,DIMETENAMIDA,8.0,princípio ativo
ANTICOLINESTERASICO,ACIDO ESTEARICO,8.0,princípio ativo
ANTIDEPRESSIVO,ANTIBIOTICO,8.0,grupo químico
ANTICOLANESTERASICO,ACIDO ESTEARICO,8.0,princípio ativo
DIMETHYLAMNONIUM,DIMETENAMIDA,8.0,princípio ativo
DEXFORFENIRAMINA,DIFLUFENICAM,8.0,princípio ativo
BENZODIAZEPINICO,BENZILADENINA,8.0,princípio ativo
OURO FINO (ANTIPARISATARIO),ANTIBIOTICO,8.0,grupo químico
PHOSPHORATHOAT,FOSFONATO,8.0,grupo químico
ANTICOLENESTERASICO,ACIDO ESTEARICO,8.0,princípio ativo
N PHOSPHONAMETTY,FOSFONATO,8.0,grupo químico
DM A 806 BR,DICAMBA,8.0,princípio ativo
PLOSPHONOMETIL,FOSETIL,8.0,princípio ativo
AMBICOMOSFERASICO,ACIDO ESTEARICO,8.0,princípio ativo
HEXACLOROBENZENO,CLOROBENZILATO,8.0,princípio ativo
GLI UP 480,GLIFOSATO,7.0,princípio ativo
ANTICOLNESTERADICO,ACIDO ESTEARICO,7.0,princípio ativo
SAL DE ISOPROPELAMENCE,ISOPROCARBE,7.0,princípio ativo
INSETIMASTER,CINETINA,7.0,princípio ativo
DICHLOROPHENOXY,DICLOFOPE,7.0,princípio ativo
TIRCOSIPADOR,GLUFOSINATO,7.0,princípio ativo
TOP UP 48,"2,4 - D",7.0,princípio ativo
ANTICOLINERGICO,ACIDO LINOLEICO,7.0,princípio ativo
THISACETIMIDATE,ACETAMIDA,7.0,grupo químico
LAMBDACYHALOTHRIN,LAMBDA - CIALOTRINA,7.0,princípio ativo
DVP 1000,CAPTANA,7.0,princípio ativo
ANTI DEPRESSIVO,DIMETOATO,7.0,princípio ativo
NITROFORMICIDA,CIAZOFAMIDA,7.0,princípio ativo
NAO ESPECIFICOU,ETEFOM,7.0,princípio ativo
NAO IDENTIFICADA,BIFENTRINA,7.0,princípio ativo
2.4 D 826 G/L,"2,4 - D",7.0,princípio ativo
FOSFORODITIOATO,FOSFONATO,7.0,grupo químico
NAO IDENTIFICADO,BIFENTRINA,7.0,princípio ativo
PUVENIZADOR,FLUVALINATO,7.0,princípio ativo
HIDROXICUMARINICO,CUMARINICO,7.0,grupo químico
POLISSUQUI,LINUROM,7.0,princípio ativo
GRANOQUISIONE,GRANDLURE,7.0,princípio ativo
DDVP-FERSOL 1000,RINCOFOROL,7.0,princípio ativo
YLIDENEAMINE,BIFENTRINA,7.0,princípio ativo
JIMO EM PO,CIMOXANIL,7.0,princípio ativo
FRUTIFICACAO,FOSTIAZATO,7.0,princípio ativo
ANTICOLIMESTERARICO,ACIDO ESTEARICO,7.0,princípio ativo
NAO DESCRIMINADO,ESPINOSADE,7.0,princípio ativo
ZAPPQI620,CAPTANA,7.0,princípio ativo
ANTECOLMESTEASICO,ACIDO ESTEARICO,7.0,princípio ativo
NAO DETERMINDADO,ACETAMIPRIDO,7.0,princípio ativo
STOY 40SC,ETOXAZOL,7.0,princípio ativo
PROPILENOGLICOL,PROPICONAZOL,7.0,princípio ativo
GRONOSSANDRO,GLUFOSINATO,7.0,princípio ativo
KAISO250CS,TANINOS,7.0,princípio ativo
DESCONHECIDA,BOSCALIDA,7.0,princípio ativo
INASPECIFICO,AZINFOS-ETILICO,7.0,princípio ativo
CHLORIMURONETHYL,CLORIMUROM,7.0,princípio ativo
BIOTNSET2.5,CINETINA,7.0,princípio ativo
PLENOXBENZ(1RS3RS1RS),ETOPROFOS,7.0,princípio ativo
PREMORISTER,PROPARGITO,7.0,princípio ativo
NOME DESCONHECIDO,METALDEIDO,7.0,princípio ativo
DEXCLORFERAMINA,CLORFENAPIR,7.0,princípio ativo
DDVP 500,CAPTANA,7.0,princípio ativo
FORDAN3506C,FORATO,7.0,princípio ativo
FENOXIACETICOS,FENAMIFOS,7.0,princípio ativo
BETACYFELTRIN,BIFENTRINA,7.0,princípio ativo
ICON 10 PN,IPCONAZOL,7.0,princípio ativo
GLIFOSATO(FERSOL 480 NA).,GLIFOSATO,7.0,princípio ativo
NAO INDENTIFICADO,INDAZIFLAM,7.0,princípio ativo
MONTELUCASTE,CLORMEQUATE,7.0,princípio ativo
ANTICOLNESTERASICO,ACIDO ESTEARICO,7.0,princípio ativo
ZAPPQ1620,CAPTANA,7.0,princípio ativo
CODA SUL PH,ASULAM,7.0,princípio ativo
GALO E OLEO,ALACLORO,7.0,princípio ativo
FERTILIZANTES,FOSTIAZATO,7.0,princípio ativo
AMADURECEDOR DE CANA,AZADIRACTINA,7.0,princípio ativo
TRICLOROPICOLINICO,ARILPICOLINATO,7.0,grupo químico
DISENILETER,DINOCAPE,7.0,princípio ativo
RINEQUICAPIR,CINETINA,7.0,princípio ativo
24 D (DMA 806 BR),IMAZAPIR,7.0,princípio ativo
DOXORRUBICINA,OXICARBOXINA,7.0,princípio ativo
PULVERIZACAO DE CAFE,PIRIDATO,7.0,princípio ativo
MATA MATO NAO IDENTIFICADO,BIFENTRINA,7.0,princípio ativo
"2,4-DICHLOROPHENOXY",DICLOFOPE,7.0,princípio ativo
ARILOXIALCAROICO,ACIDO ARILOXIALCANOICO,7.0,grupo químico
SAL DE ISOPROPELAMENA DE N,CARPROPAMIDA,7.0,princípio ativo
CLOROCORLODIENO,CLOROTALONIL,7.0,princípio ativo
AGAGROTOXICO,CARBOXINA,7.0,princípio ativo
%CHUMBINHO%,CUMAFENO,7.0,princípio ativo
PULVERIZACAO,PIRIDATO,7.0,princípio ativo
ANTIFERRRUGEM,ACIFLUORFEM,7.0,princípio ativo
PULVERIZANTE,PIRIDATO,7.0,princípio ativo
PO DE CHIA,ABAMECTINA,7.0,princípio ativo
SAL ISOLPROPILAMINA DEN (PHOSPHNOMENTIL)GLICINE,CARPROPAMIDA,7.0,princípio ativo
ANTICOLMESTERASICO,ACIDO ESTEARICO,7.0,princípio ativo
FENIXIACETICOS,FENAMIFOS,7.0,princípio ativo
BULOXYTHYL,CIMOXANIL,7.0,princípio ativo
SH 2000,ACEFATO,7.0,princípio ativo
COLINESTERASE,CINETINA,7.0,princípio ativo
NPX 8990,BIXAFEM,7.0,princípio ativo
ANTI INFLAMATORIO,ALACLORO,7.0,princípio ativo
CRICLOROPICOLINICO,ARILPICOLINATO,7.0,grupo químico
FENOXIACETICO,FENOTIOL,7.0,princípio ativo
METHYLBIPHENYL,METIL EUGENOL,7.0,princípio ativo
HIDROXIAMALINAS,CIROMAZINA,7.0,princípio ativo
DMA 480 BR,IMAZAPIR,7.0,princípio ativo
OGURUSFOFORATO,GLUFOSINATO,7.0,princípio ativo
DESINFETANTE,CINETINA,7.0,princípio ativo
CIPROFLOXACINO,CIROMAZINA,7.0,princípio ativo
ALGUIIBENZENO,QUINTOZENO,7.0,princípio ativo
ORTHENE750,PROFENOFOS,7.0,princípio ativo
DMA 806 BR,IMAZAPIR,7.0,princípio ativo
MEL DE FUMO,ETEFOM,7.0,princípio ativo
K 250 AC,AMITRAZ,7.0,princípio ativo
FOSFOTOQUISIM,SETOXIDIM,7.0,princípio ativo
"N-(FOSFONOMETIL) GLICINA,C3H8NO5P)",CLETODIM,7.0,princípio ativo
BENZOADIPINICO,BENZILADENINA,7.0,princípio ativo
THIOACETIMIDATE,ACETAMIDA,7.0,grupo químico
INDETERMINADO,AMETRINA,7.0,princípio ativo
PULVERIZENDO,QUINTOZENO,7.0,princípio ativo
AMITRIPITILINA,AMINOPIRALIDE,7.0,princípio ativo
ANTICOLITESTERARICO,ACIDO ESTEARICO,7.0,princípio ativo
24D PULVERIZADOR DE CANA,FLUTRIAFOL,7.0,princípio ativo
DESCONHECIDO,METALDEIDO,7.0,princípio ativo
ESPINTOVAN120G/L,ESPINETORAM,7.0,princípio ativo
PULVERIZADOR MATA MATO,FLUTRIAFOL,7.0,princípio ativo
RODENTICIDAS,BIFENTRINA,7.0,princípio ativo
GATO 1000,ATRAZINA,7.0,princípio ativo
CLOROCICLODIENO,CLOROTALONIL,7.0,princípio ativo
GLICOSATOATANOR,GLIFOSATO,7.0,princípio ativo
AGROTOXICO NI,CARBOXINA,6.0,princípio ativo
DSK PLUS,ASULAM,6.0,princípio ativo
FERTILIZANTE NAO ESPECIFICADO,ESPINOSADE,6.0,princípio ativo
COMPLEXANTE MEA,CIMOXANIL,6.0,princípio ativo
ROUNCHUP,BROMACILA,6.0,princípio ativo
KOTHERINE,ATRAZINA,6.0,princípio ativo
SURFACTANTE POLIOXIETILENOAMINA,PARAQUATE,6.0,princípio ativo
AMITRIPTILINA,AMETRINA,6.0,princípio ativo
INDOCLOPINE,DINOCAPE,6.0,princípio ativo
ILEGIVEL,CLETODIM,6.0,princípio ativo
W-FOSFONOMETIL C3H8NO5P,DECANOL,6.0,princípio ativo
CFHUMBINHO,CIFLUTRINA,6.0,princípio ativo
AGROTOXICO 04-D,CARBOXINA,6.0,princípio ativo
DESCONHECE O TIPO DE AGROTOXICO.,DECANOL,6.0,princípio ativo
TRICODERMEL,RINCOFOROL,6.0,princípio ativo
LOCI 200,DODINA,6.0,princípio ativo
ALCOOLISMO,ALACLORO,6.0,princípio ativo
AGRITOALCO,ACETOCLORO,6.0,princípio ativo
INIBIDORES DA COLINESTERASE,PIRIDABEM,6.0,princípio ativo
CORTRAPATICIDA,CARPROPAMIDA,6.0,princípio ativo
OLEO DE NEEM,OLEO MINERAL,6.0,princípio ativo
DOSE 24 D,"2,4 - D",6.0,princípio ativo
INEX+DRAC,CINETINA,6.0,princípio ativo
VECTORCONTROL,METCONAZOL,6.0,princípio ativo
DIMETILACETAMINA,DIMETENAMIDA,6.0,princípio ativo
GRAMATISSOM,AZAMETIFOS,6.0,princípio ativo
K-OBIOL25CE,FOLPETE,6.0,princípio ativo
ROUNDOPE,CARTAPE,6.0,princípio ativo
INSENTICIDA NAO DETERMINADO,AMETRINA,6.0,princípio ativo
GRAMACHONE MATA MATO,ABAMECTINA,6.0,princípio ativo
ERYTROXYLON COCA,ETOXAZOL,6.0,princípio ativo
ANTIALERGIA,ANILAZINA,6.0,princípio ativo
QUATERMAN,AMITRAZ,6.0,princípio ativo
MASTERMUNS 3 15 8,MESOTRIONA,6.0,princípio ativo
SAL ISOPROPILAMINA,CARPROPAMIDA,6.0,princípio ativo
CARRAPATICIDDA,CARPROPAMIDA,6.0,princípio ativo
PLIMIPLUS,GOSSIPLURE,6.0,princípio ativo
"2,4 DICHLOROPHENOXYACETC ACID 2,4-D,SAL TRISOPROPILAMINA","2,4 - D",6.0,princípio ativo
INSDETICIDA,CINETINA,6.0,princípio ativo
"AGROTOXICO 2,4 -D",CARBOXINA,6.0,princípio ativo
AMBICOLURE,ALACLORO,6.0,princípio ativo
OLEO DE NIN,OLEO VEGETAL,6.0,princípio ativo
DIISOCIANATO DE DIFENILMETANO HOMOPOLIMETRO,DICLORANA,6.0,princípio ativo
PLIN PLUS,LINUROM,6.0,princípio ativo
PREDNISOLONA,IPRODIONA,6.0,princípio ativo
BENZODIAZEPINAS,BENZILADENINA,6.0,princípio ativo
PRAGUICIDAS,AVIGLICINA,6.0,princípio ativo
GRAMASSATI,GLIFOSATO,6.0,princípio ativo
ROUNDUPDI,SORDIDIM,6.0,princípio ativo
FURADAN350 SC,FLURIDONA,6.0,princípio ativo
U 46 BR,"2,4 - D",6.0,princípio ativo
INIBIDORES DE ACETILCOLINESTERASE,PIRIDABEM,6.0,princípio ativo
SAL DE ISOPROPILAMINA DE N + (FOSFONOMETIL) GLICINA.........,CARPROPAMIDA,6.0,princípio ativo
ORQUESTRA,CUELURE,6.0,princípio ativo
ROUND.UP,DODINA,6.0,princípio ativo
OLEO JANT,OLEO MINERAL,6.0,princípio ativo
COLINERGICO,CINETINA,6.0,princípio ativo
CHUMBINHO.,CUMAFENO,6.0,princípio ativo
GRAMUCHONE,ABAMECTINA,6.0,princípio ativo
AZINPHOSETIL,FOSETIL,6.0,princípio ativo
RAUN DUP,GRANDLURE,6.0,princípio ativo
AUTO 100,METOMIL,6.0,princípio ativo
FENAZOPIRIDINA,FENAMIDONA,6.0,princípio ativo
GLIFONOTOPLUS,GLIFOSATO,6.0,princípio ativo
GRAMARCONE,BROMACILA,6.0,princípio ativo
EMBALAGENS DE AGROTOXICO,CARBOXINA,6.0,princípio ativo
SURFACTANTE,PARAQUATE,6.0,princípio ativo
HOUNDUP,ASULAM,6.0,princípio ativo
AGROTOXICO ENDETERMINADO,CARBOXINA,6.0,princípio ativo
PRIMEPLUS.BR,TRIMEDLURE,6.0,princípio ativo
GLIUSIMAX,DIUROM,6.0,princípio ativo
ERITHROXYLIM COCA,BUTROXIDIM,6.0,princípio ativo
CLOROFORMIO,CLORIMUROM,6.0,princípio ativo
INIBIDORES DO COLINESPERASE,PIRIDABEM,6.0,princípio ativo
EXCIPIENTE 100%,FOLPETE,6.0,princípio ativo
GRAMEOCANI,ABAMECTINA,6.0,princípio ativo
NAO ESPECIFICADA,ESPINOSADE,6.0,princípio ativo
OXISUPER FERTILIZANTE,ASULAM,6.0,princípio ativo
CYMPERATOR,ACEFATO,6.0,princípio ativo
DESCONHECE,DECANOL,6.0,princípio ativo
AGROTOXICO DE CAFE,CARBOXINA,6.0,princípio ativo
DPVD 81%,DODINA,6.0,princípio ativo
COLOSSOPURON,CLORIMUROM,6.0,princípio ativo
LAMBDACUILATRINA,LAMBDA - CIALOTRINA,6.0,princípio ativo
NEW MOET,DECANOL,6.0,princípio ativo
ABRILHOMEE,PRIME,6.0,princípio ativo
N-PHTHALIMIDE,FTALIDA,6.0,princípio ativo
METYLARSONATO,METIDATIONA,6.0,princípio ativo
FERTILIZANTE A BASE DE CAL,FOSTIAZATO,6.0,princípio ativo
NAO DETERMINADO,AMETRINA,6.0,princípio ativo
GRAMASCONE,BROMACILA,6.0,princípio ativo
EXPURGRAN,EMPENTRINA,6.0,princípio ativo
RB 10MG,ASULAM,6.0,princípio ativo
LANNATE@BR,MANCOZEBE,6.0,princípio ativo
MOLUSQUICIDA,TOLIFLUANIDA,6.0,princípio ativo
ROUNDESP WG,DODINA,6.0,princípio ativo
TIOCETIMIDATO,ACETAMIDA,6.0,grupo químico
AGROTOXICO NAO INDENTIFICADO,CARBOXINA,6.0,princípio ativo
ROUN UPP,CUELURE,6.0,princípio ativo
INSENTICIDA,BIFENTRINA,6.0,princípio ativo
MADICAMENTO,DICAMBA,6.0,princípio ativo
GRAMASSONE,CLOMAZONA,6.0,princípio ativo
GLISOFULVINA,GIBERELINA,6.0,grupo químico
ROUNDUPP,CUELURE,6.0,princípio ativo
HERBICIDA(NAO SISTEMICO) PULVERIZAR,PROMETRINA,6.0,princípio ativo
SOB  SAIA,FOSFINA,6.0,princípio ativo
SAL DE ISOPROPILOMINA,IPRODIONA,6.0,princípio ativo
GLIZ 800,GLIFOSATO,6.0,princípio ativo
ROUNALUP,ASULAM,6.0,princípio ativo
GRAMUCHANY,ABAMECTINA,6.0,princípio ativo
"AGROTOXICO 3,4 D",CARBOXINA,6.0,princípio ativo
BULLDOCK,CUELURE,6.0,princípio ativo
CUPRONGARB,CAPTANA,6.0,princípio ativo
MEDICAMENTO PARA CIRCULACAO,DICAMBA,6.0,princípio ativo
DUAL GOLD,DECANOL,6.0,princípio ativo
ZETACYPERMETHRIN,ZETA - CIPERMETRINA,6.0,princípio ativo
FERTILIZANTE ROUND-UP,DODINA,6.0,princípio ativo
VERDADEIRRO,METALDEIDO,6.0,princípio ativo
DICHLOROPHENOX,DICLOFOPE,6.0,princípio ativo
AGUA OXIGENADA,CINETINA,6.0,princípio ativo
DIMETHYLAMMONIUM 24- DICLOPHENOXY,DICLORANA,6.0,princípio ativo
TORDO(AGROTOXICO),CARBOXINA,6.0,princípio ativo
SAL DE ISOPROPILAMINA,CARPROPAMIDA,6.0,princípio ativo
FERTILIZANTE,FOSTIAZATO,6.0,princípio ativo
DMA AGROTOXICO,CARBOXINA,6.0,princípio ativo
BRAZILEIRINHO,PRALETRINA,6.0,princípio ativo
AGROTOXICO NAO SABE O NOME,CARBOXINA,6.0,princípio ativo
