nome_ms,prod_mais_similar,dist_lev,ingrediente,tipo
BARRAGEM,ARRANGE,3.0,"2,4 - D",princípio ativo
CARBONATO + ALPROZALON,CARTAGO,4.0,CLETODIM,princípio ativo
"AMINO-3,6 DICHLOROPYRIDMI",AUIN,2.0,BEAUVERIA BASSIANA,princípio ativo
DIETIL CARBONATO,MISSIL,3.0,HALOXIFOPE-P-METILICO,princípio ativo
ANOFLEX,AGILE,4.0,CLETODIM,princípio ativo
NASECI,INSECT,3.0,METARHIZIUM ANISOPLIAE,princípio ativo
TECIS,TEBAS,2.0,TEBUCONAZOL,princípio ativo
CROSPAN,GOPAN,3.0,DIQUATE,princípio ativo
FOLIAR+DANIMEN,DANIATO,3.0,ACEFATO,princípio ativo
PULVERIZADOR TOMATE,NEMATEC,3.0,DELADENUS SIRICIDICOLA,princípio ativo
CIMERPRIDA,HERBZINA,6.0,ATRAZINA,princípio ativo
DSK PLUS,PRISMA PLUS,5.0,DIFENOCONAZOL,princípio ativo
LAMBIDA CIOLATRINA,LUMICA,3.0,MESOTRIONA,princípio ativo
PRIORISTER,PRIORI TOP,3.0,AZOXISTROBINA,princípio ativo
CAMP,GAME,2.0,LUFENURON,princípio ativo
FOLIAR MEGAFEL,SERIFEL,3.0,BACILLUS AMYLOLIQUEFACIENS,princípio ativo
ROUDUP ORIGINAL DI,ROUNDUP ORIGINAL MAIS,4.0,GLIFOSATO,princípio ativo
"MAGNUS BR,GAMIT STAR",GAMIT STAR,0.0,CLOMAZONA,princípio ativo
SAL DE TRIETANOLAMINA,DEZ,1.0,"2,4 - D",princípio ativo
GENERAL,EMERALD,3.0,TETRACONAZOLE,princípio ativo
ARAD 700MG,YANG,4.0,ACETAMIPRIDO,princípio ativo
CHIMBINHO,HERBINA,5.0,"2,4 - D",princípio ativo
BENZOATO,DANIATO,4.0,ACEFATO,princípio ativo
CHLORIMURONETHYL,CLORIMURON SINON,7.0,CLORIMUROM,princípio ativo
FUNIDON 350,CANION,3.0,HEXAZINONA,princípio ativo
PENI PLUS,NILLUS,4.0,CLOROTALONIL,princípio ativo
ALMISTAR,ALSTAR ,3.0,BIFENTRINA,princípio ativo
FURA,FERA,1.0,GLIFOSATO,princípio ativo
ATAMAGOLI TROFIL,TROIA,2.0,MANCOZEBE,princípio ativo
PRIORE,PRIDE,2.0,GLIFOSATO,princípio ativo
PLENO,ILEVO,2.0,FLUOPIRAM,princípio ativo
GLUCIAL,CRUCIAL,2.0,GLIFOSATO,princípio ativo
CYPROCONAZOLI,SHAR-CONAZOL,5.0,TEBUCONAZOLE,princípio ativo
METAMICLOFOS (INSETICIDA E ACARICIDAANGANAFOSFORADO),INSECT,6.0,METARHIZIUM ANISOPLIAE,princípio ativo
CHUMBRINHO,HERBZINA,6.0,ATRAZINA,princípio ativo
LAVANDA - CEABTRINA,SAVANA,2.0,CLOMAZONA,princípio ativo
ACEFAN,ACETA,2.0,ACETAMIPRIDO,princípio ativo
AMOCIL,ANDRIL,3.0,BACILLUS FIRMUS,princípio ativo
DELTOPHOS,DOLPHIN,5.0,TIOFANATO-METILICO,princípio ativo
ACIDO PERICLINILAXILCANOICO,ZARDO,3.0,"2,4 - D",princípio ativo
SIPTCATIM,SPICAL,5.0,NEOSEIULUS CALIFORNICUS,princípio ativo
ORGANOS FOSFORADO,DAVOS,4.0,LAMBDA-CIALOTRINA,princípio ativo
ENGEOPLENO,ENGEO PLENO,1.0,TIAMETOXAM,princípio ativo
STARICE,STARKLE,2.0,DINOTEFURAM,princípio ativo
TIROFIBAN,TROIA,4.0,MANCOZEBE,princípio ativo
HELMSTAR,HELMET,3.0,FLUTOLANIL,princípio ativo
KARATE 50,KRATON,3.0,LUFENUROM,princípio ativo
ACRO D,ACRUX,3.0,PACLOBUTRAZOL,princípio ativo
MATATHION  500CE,GAMATION,3.0,MALATIONA,princípio ativo
CABOFURA,AVURA,4.0,AZOXISTROBINA,princípio ativo
ANTECOLUOSBERZICO,CLOSER SC,10.0,SULFOXAFLOR,princípio ativo
"(N-(FOSFONOMETIL) GLICINA,C3H8NO5P)",NAN,2.0,NAN,princípio ativo
CARBURETO,CARTUGEN,4.0,BACULOVIRUS - SPODOPTERA FRUGIPERDA MULTIPLENUCLEOPOLYHEDROVIRUS (SFMNPV),princípio ativo
ORGANOFOFORATO,RINCOFOROL,8.0,RINCOFOROL,princípio ativo
SAL DIMETICAMINA,GESAMENA,7.0,AMETRINA,princípio ativo
FLUOXETINA,FLEXIN ,5.0,FLUTRIAFOL,princípio ativo
BROMOLINA,PROLINE,4.0,PROTICONAZOL,princípio ativo
DECIS AGRITOATO,DECISIVE,3.0,GLIFOSATO,princípio ativo
PROJIB,PROFIX,2.0,BACILLUS SUBTILIS,princípio ativo
KELPLANT,KELPAK,3.0,ECKLONIA MAXIMA,princípio ativo
DICLOROVINIL DIMETILFOSFATO,NOCTOVI GL,7.0,Z-11 HEXADECENAL,princípio ativo
ACEPHATO + SILICATO DE ALUMINIO,DEZ,1.0,"2,4 - D",princípio ativo
"CAPTAM,PERTRIMO,PERIMIFOS-MENTHY",METRY,2.0,METRIBUZIM,princípio ativo
DICHLOROPHENOXYACETIC,CHLOROTHALONIL TECNICO,13.0,CHLOROTHALONIL,princípio ativo
INFINITO,INFINITO ,1.0,CLORIDRATO DE PROPAMOCARB+FLUOPICOLIDE,princípio ativo
ACIDO DICLORAFENOXI ACETICO,ZARDO,3.0,"2,4 - D",princípio ativo
FENO,TEJO,2.0,MANCOZEBE,princípio ativo
TAMARON BR,GAMATION,3.0,MALATIONA,princípio ativo
FOLHA LARGA,LAVRA,2.0,"2,4 - D",princípio ativo
SANCAO,SALERO,3.0,MANCOZEBE,princípio ativo
DMA  46,DAVOS,5.0,LAMBDA-CIALOTRINA,princípio ativo
PIRETOIDES,PIREO,5.0,LUFENUROM,princípio ativo
SAPECADOR,PREDADOR,4.0,ESPIRODICLOFENO,princípio ativo
FEBUCANAZOL,BUCANERO,5.0,LAMBDA-CIALOTRINA,princípio ativo
ETHREL 720,ETHREL F,2.0,ETHEPHON,princípio ativo
N - FOSFONOMETIL,SENSEI,8.0,BUPROFEZINA,princípio ativo
K OBIOL 2 P,ORBIS,3.0,TEBUCONAZOL,princípio ativo
BELTOX C,KELTOR,2.0,SAFLUFENACIL,princípio ativo
PARADAC,PARADOX ,3.0,PARAQUATE,princípio ativo
EOFIDAR,HODOR,4.0,MANCOZEBE,princípio ativo
LORSBAM,SORBA,3.0,LUFENUROM,princípio ativo
SUFURAMIDA MIRET,PIREO,2.0,LUFENUROM,princípio ativo
GLIFOSAR ATAR 48,GLIFOSAL,1.0,GLIFOSATO,princípio ativo
WATIVO,SAVIVO,2.0,ABAMECTINA,princípio ativo
DECIF 25,METIZ,3.0,METRIBUZIM,princípio ativo
ACIDO MURIATICO,ZARDO,3.0,"2,4 - D",princípio ativo
PIRACLOSLOBINA +,PACLO BR,8.0,PACLOBUTRAZOL,princípio ativo
ACIDO ARITOXIFENOXPROPONICO,ZARDO,3.0,"2,4 - D",princípio ativo
NIMUS,NILLUS,2.0,CLOROTALONIL,princípio ativo
GLIFOZAPE,GLIFOSAL,3.0,GLIFOSATO,princípio ativo
HEMIFLUORETO DE QUETIAPINA 200MG,DEZ,1.0,"2,4 - D",princípio ativo
LANNOTE BR,CAPOTE,3.0,TEBUTIUROM,princípio ativo
IBOMOX,NIMOX,3.0,AZOXISTROBINA,princípio ativo
INIBIDOR DA ACETIL COLINESTERASE,ACETA,2.0,ACETAMIPRIDO,princípio ativo
COLHEITA DE FUMO,DEZ,1.0,"2,4 - D",princípio ativo
ARTYS VOLCANO,CARTARYS,3.0,CLORIDATO DE CARTAPE,princípio ativo
GASOLINA/OLEO DIESEL,MISSIL,3.0,HALOXIFOPE-P-METILICO,princípio ativo
INCETICIDA  DETEFON,BITELO,4.0,"2,4 - D",princípio ativo
COBRE ATAR,ATAK,1.0,TEBUCONAZOL,princípio ativo
25D,WILD,3.0,CLORPIRIFOS,princípio ativo
POLISUFER,COLISEO,4.0,ATRAZINA,princípio ativo
K OBIOL 25 EC,ORBIS,3.0,TEBUCONAZOL,princípio ativo
LANNANTE,ADANTE,3.0,TIAMETOXAM,princípio ativo
APROUCH,APPROACH,2.0,PICOXISTROBINA,princípio ativo
AGRICOLAR,ARCAR,4.0,METARHIZIUM ANISOPLIAE,princípio ativo
"DIAZEPAN,IBUPROFENO",NIPPON,5.0,NICOSSULFUROM,princípio ativo
AGRIZOAZO 400,AGRILIST,5.0,"2,4 - D",princípio ativo
FUROUDON,FUORO,4.0,LUFENUROM,princípio ativo
THIOTAN,THORN,3.0,TRIFLUMURON+ BETA,princípio ativo
"BIOINSET,TERMIDIL,DIMY E OLEO DIMY",BIOISCA,3.0,FLAVONAS SAPONINICAS DO TIPO ROTENOIDES,princípio ativo
IOSMA,SORBA,3.0,LUFENUROM,princípio ativo
SJETTRO,SPERTO,3.0,FLUTRIAFOL,princípio ativo
FOLESULP,FOCUS WP,4.0,CLOTHIANIDIN,princípio ativo
FURY 400,AURA 200,3.0,PROFOXYDIM,princípio ativo
U-46,UZAT,3.0,AZOXISTROBINA,princípio ativo
PICLORANTRIETANOLAMINA,PICLORAM TECNICO ADAMA,12.0,PICLORAM,princípio ativo
COUTRIN,CONTRAP,3.0,SERRICORNIM,princípio ativo
GRAMOSONI,KRATON,5.0,LUFENUROM,princípio ativo
CYPERPOUR,SYNERO,5.0,AMINOPIRALIDE,princípio ativo
GAMIT 360 CS,TAMIZ,2.0,AZOXISTROBINA,princípio ativo
GARBON,GARBOR,1.0,CLORIMUROM-ETILICO,princípio ativo
GALEOPENTINA 300 MG,GALLANT NF,6.0,HALOXIFOPE-P-METILICO,princípio ativo
GLIZMAX,GLIZMAX,0.0,GLIFOSATO,princípio ativo
ACIDO ACETILSALICILICO,ZARDO,3.0,"2,4 - D",princípio ativo
MERTURON VIGOR,RIGOL,2.0,BIFENTRINA,princípio ativo
FARISUPER,RIPER,4.0,BISPIRIBAQUE-SODICO,princípio ativo
PYRINEX 480 EC,PRIDE,3.0,GLIFOSATO,princípio ativo
METROMEX,METHAMAX,3.0,METARHIZIUM ANISOPLIAE,princípio ativo
VENEDO DE RATO,RAYO,1.0,GLIFOSATO,princípio ativo
ZAPPQ1620,ZAPP QI 620,3.0,GLIFOSATO,princípio ativo
TILIUM,TRIDIUM,2.0,AZOXISTROBINA,princípio ativo
AZOXYSTROBIN + CYPROCONAZOLE,SHAR-CONAZOL,5.0,TEBUCONAZOLE,princípio ativo
FLUMAZYN,FLAMA,4.0,FLUTRIAFOL,princípio ativo
GASTROXIN,GLIFOXIN,4.0,GLIFOSATO,princípio ativo
DEODORO,DEORO,2.0,FLUMETRALIN,princípio ativo
AMPLID,AMPLO,2.0,BENTAZON+IMAZAMOX,princípio ativo
TEFLERBENZURON,TEFLUBENZURON TEC ,7.0,TEFLUBENZUROM,princípio ativo
MANSIN/CRUZER/AMPLIGO,AMPLIGO ,1.0,LAMBDA-CIALOTRINA+CLORANTRANILIPROLE,princípio ativo
DRAMOXONI,DIAMOND,4.0,TRICHODERMA KONINGIOPSIS,princípio ativo
TRIETALONAMINA,TRIANUM WG,8.0,TRICHODERMA HARZIANUM,princípio ativo
LITHO MICRON 3000,NIPPON,3.0,NICOSSULFUROM,princípio ativo
CARBONATO DE BARIO,DEZ,1.0,"2,4 - D",princípio ativo
CRIULINA,TRILLA,4.0,DIUROM,princípio ativo
ACIDO DE ORDENHA,DEZ,1.0,"2,4 - D",princípio ativo
AVICTA COMPLETO,COMPLETTO,1.0,BENTIAVALICARBE ISOPROPILICO,princípio ativo
BRUTUS,BATTUS,2.0,ACETAMIPRIDO,princípio ativo
ISOTIAZOLINONA,FLUTRIAFOL SINON,8.0,FLUTRIAFOL,princípio ativo
DIMETHOATE,DELEGATE,5.0,SPINETORAM,princípio ativo
MARATE,CAPOTE,3.0,TEBUTIUROM,princípio ativo
TAUTAR,TUTOR,2.0,HIDROXIDO DE COBRE,princípio ativo
ANDROSINA,ANDRIL,4.0,BACILLUS FIRMUS,princípio ativo
"TAMARON,DECIS,CERCOBIN",CERCONIL,2.0,TIOFANATO METILICO,princípio ativo
CARBONO-FOSFORO,ARBORO,2.0,SAFLUFENACIL,princípio ativo
RENDAPI,SENSEI,4.0,BUPROFEZINA,princípio ativo
TARGOU,ZARDO,3.0,"2,4 - D",princípio ativo
VOLCONE,VOLPE,3.0,DIUROM,princípio ativo
COCAINA,LOYANT,4.0,FLORPIRAUXIFEN-BENZIL,princípio ativo
SANSON 40SC,CANION,2.0,HEXAZINONA,princípio ativo
ACIDO PERIDINILAXIALCANOICO,ZARDO,3.0,"2,4 - D",princípio ativo
TRIODAM,TRILLA,3.0,DIUROM,princípio ativo
GLIJONATO,GLIFOSAL,4.0,GLIFOSATO,princípio ativo
ZETACYPERMETHRIN,METAPREMIUM,10.0,METARHIZIUM ANISOPLIAE,princípio ativo
OSMOSE K33 C,SENSEI,4.0,BUPROFEZINA,princípio ativo
SAL DE DIMETILOMINA,DEZ,1.0,"2,4 - D",princípio ativo
DITHIOCALBAMATO,DICAMAX,9.0,DICAMBA,princípio ativo
DERCI,DESALI,3.0,AZOXISTRBINA,princípio ativo
2-40,ZEUS,4.0,DINOTEFURAM,princípio ativo
TRIFLOSASTROBINA,GLIFOSATO SOMA,9.0,GLIFOSATO,princípio ativo
DUAL GOLD  METOROCLORO,BOLD,1.0,ACETAMIPRIDO,princípio ativo
TORONTO,TORERO,3.0,MANCOZEBE,princípio ativo
GASTROFIN,TROIA,5.0,MANCOZEBE,princípio ativo
EPAGRO,ENDURO,3.0,AMINOPIRALIDE,princípio ativo
CYPERMETHRIN,CYTOLIN,7.0,ACIDO GIBERELICO,princípio ativo
GLIOFOSFATO,GLIFOSAL,4.0,GLIFOSATO,princípio ativo
AMATO,AMAIZ,2.0,NICOSSULFUROM,princípio ativo
REGEONE,OREGON,3.0,NOVALUROM,princípio ativo
JIMO,PRIMO,2.0,AZOXISTROBINA,princípio ativo
IVOMEC 1 VIDRO,FUORO,3.0,LUFENUROM,princípio ativo
ENDOSULFFAN,DOLPHIN,7.0,TIOFANATO-METILICO,princípio ativo
MANZATE,DANIATO,3.0,ACEFATO,princípio ativo
ZANATE DR,NATU,3.0,DIFLUBENZUROM,princípio ativo
FURAZAN,FEZAN,3.0,TEBUCONAZOL,princípio ativo
"GLOGOCTIM,LANAITI",LANTIC,3.0,CARBENDAZIM,princípio ativo
LEPSIDA,LEPIGEN,4.0,AUTOGRAPHA CALIFORNICA MULTIPLE NUCLEOPOLYHEDROVIRUS,princípio ativo
"AURORA,GAMITI,ECTARA",AURORA ,1.0,CARFENTRAZONA-ETILICA,princípio ativo
INIBIDOR DE COLINESTERASE,DEZ,1.0,"2,4 - D",princípio ativo
DERNIX,ONIX,3.0,BACILLUS METHYLOTROPHICUS,princípio ativo
FOLICUR CE,FYSIUM,4.0,METILCICLOPROPENO,princípio ativo
FAS TAC,TAJ,1.0,FIPRONIL,princípio ativo
ACTELLIC 500EC,PIREO,4.0,LUFENUROM,princípio ativo
"ZINCO,NITRATO DE POTASSIO",DEZ,1.0,"2,4 - D",princípio ativo
TEPOCONAZOLI CERTEIRO,VERTER,3.0,SULFOXAFLOR,princípio ativo
LEVOMIPROMAZINA - 2 CP,TOCO,3.0,PICLORAM,princípio ativo
PIRETROIDE(AMPLO ESPECTRO),SPERTO,4.0,FLUTRIAFOL,princípio ativo
CONTROLE DE ERVAS DANINHAS,DEZ,1.0,"2,4 - D",princípio ativo
BIFETHRIN,BIMETRON,3.0,AMETRINA,princípio ativo
RAMASONE  - ROMAQUAT,AIRONE,4.0,HIDROXIDO DE COBRE,princípio ativo
MANINUPULACAO BUTOX,BURON,2.0,FLUTRIAFOL,princípio ativo
BENDAZOL E BIOMINIO,BIOBACI,4.0,BACILLUS SUBTILIS,princípio ativo
REGENTE 800WG,PRESENCE,3.0,BACILLUS LICHENIFORMIS,princípio ativo
AMITRIPILINA,ALIBI FLORA,7.0,AZOXISTROBINA,princípio ativo
ORIX,ONIX,1.0,BACILLUS METHYLOTROPHICUS,princípio ativo
DISSULFAM ¬,MISSIL,5.0,HALOXIFOPE-P-METILICO,princípio ativo
REGLONE,VERLON,3.0,"2,4 - D",princípio ativo
GOAL BR,PACLO BR,4.0,PACLOBUTRAZOL,princípio ativo
GLAMOLONE 200,HELMOXONE,4.0,PARAQUATE,princípio ativo
COMBINE 500 SC,COMMENCE,3.0,CLOMAZONA,princípio ativo
LAMBDACYALDTHRAN,BATALHA,10.0,PICLORAM,princípio ativo
TOXIC,ZONIC,2.0,AMICARBAZONA,princípio ativo
ALTO FOO,FOX,1.0,TRIFLOXYSTROBINA,princípio ativo
BRODIFOCAIM,BIOISCA,6.0,FLAVONAS SAPONINICAS DO TIPO ROTENOIDES,princípio ativo
OMITE 720CC,SMITE ,2.0,ETOXAZOLE,princípio ativo
COLOSSO PULVERIZADOR,COLISEO,2.0,ATRAZINA,princípio ativo
PLENOXBENZ(1RS3RS1RS),ASSARIS,6.0,METOMIL,princípio ativo
DANAT,DANIATO,2.0,ACEFATO,princípio ativo
PO ENERGETICO,PRATICO,5.0,FLUTRIAFOL,princípio ativo
PERMETHYN,HELMET,5.0,FLUTOLANIL,princípio ativo
RECOPE,RECORD,2.0,CLORPIRIFOS,princípio ativo
IMIDAELOPRID,IMAZALIL,7.0,IMAZALIL,princípio ativo
GLICOLATO SAL ISOPROPILAMINA,GLIFOSAL,4.0,GLIFOSATO,princípio ativo
CITROMAR,TROIA,4.0,MANCOZEBE,princípio ativo
FUARDOM,ZARDO,3.0,"2,4 - D",princípio ativo
LORSBAN480B,SORBA,7.0,LUFENUROM,princípio ativo
PERIMFOS-METILICO,METABIO,3.0,METARHIZIUM ANISOPLIAE,princípio ativo
SEPETRIM,SPERTO,4.0,FLUTRIAFOL,princípio ativo
DEXACLORFEMIRAMINA,METAPREMIUM,11.0,METARHIZIUM ANISOPLIAE,princípio ativo
PREMIPLUS,PREMIER PLUS,3.0,IMIDACLOPRIDO,princípio ativo
GLICOFOSSATO CONCENTRADO,GLIFOSAL,5.0,GLIFOSATO,princípio ativo
BIDRIN 50 S,BLERAN,3.0,DIQUATE,princípio ativo
BRILHANTE,BRILHANTEBR,2.0,METHOMYL,princípio ativo
KELLBRIN SC 25,KELTOR,4.0,SAFLUFENACIL,princípio ativo
U96BR,SORBA,4.0,LUFENUROM,princípio ativo
MALDADRIM,CALARIS,4.0,MESOTRIONA,princípio ativo
TAFLON,HAFFOR,3.0,SULFOXAFLOR,princípio ativo
GRAMOXONI,HELMOXONE,4.0,PARAQUATE,princípio ativo
DIPIRONA / AMOXILINA,NIPPON,4.0,NICOSSULFUROM,princípio ativo
"TRODON,ADVANCE",TRUZON,2.0,CIPRODINIL,princípio ativo
DIAZENON,BIO ZENON,3.0,TRICHODERMA HARZIANUM,princípio ativo
NALAT,NEMAT,2.0,PAECILOMYCES LILANUS,princípio ativo
ARGENFRUT RV,ARGENFRUT RV,0.0,OLEO MINERAL,princípio ativo
CONECTI,CONVICTO,3.0,AZOXISTROBINA,princípio ativo
HYDRONORT,HODOR,5.0,MANCOZEBE,princípio ativo
DIAZITAP PM,BIOLITA,4.0,"(Z)-8-DODECENYL ACETATE,(E)-8-DODECENYL ACETATE,(Z)-8-DODECEN-1-OL",princípio ativo
DACONIL 1400ML,CERCONIL,3.0,TIOFANATO METILICO,princípio ativo
DMA 46,DAVOS,4.0,LAMBDA-CIALOTRINA,princípio ativo
RODILON,HODOR,4.0,MANCOZEBE,princípio ativo
EXPURGO,ENDURO,3.0,AMINOPIRALIDE,princípio ativo
SUMIGUARD,ACTIGARD,4.0,ACIBENZOLAR-S-METILICO,princípio ativo
POLIOXIEFILENO ALQUIL FENOL,FONTOP,3.0,FLUASIFOPE-P-BUTILICO,princípio ativo
SAUROS,DAVOS,3.0,LAMBDA-CIALOTRINA,princípio ativo
METIL CARBONATO,METIZ,1.0,METRIBUZIM,princípio ativo
KAOTRIN,MATRIC,3.0,CROMAFENOZIDA,princípio ativo
GRAMAXON,GAMATION,3.0,MALATIONA,princípio ativo
GRAMATONE,GAMATION,3.0,MALATIONA,princípio ativo
TAMPER,TRUPER,2.0,FLUROXIPIR MEPTILICO+ TRICLOPIR BUTOTILICO,princípio ativo
DICLORODIFENILTRICLOROETANO,CLETODIM TECNICO ROTAM,16.0,CLETODIM,princípio ativo
RONTAP,FONTOP,2.0,FLUASIFOPE-P-BUTILICO,princípio ativo
"OJEXIDE,ZAPAQI 620,AMPLI 60",ZAPP QI 620,2.0,GLIFOSATO,princípio ativo
MOL CARBURAN,CARTUGEN,3.0,BACULOVIRUS - SPODOPTERA FRUGIPERDA MULTIPLENUCLEOPOLYHEDROVIRUS (SFMNPV),princípio ativo
EGEL PLENO,ILEVO,2.0,FLUOPIRAM,princípio ativo
PASAGERAT,SALERO,5.0,MANCOZEBE,princípio ativo
INCONVET,INCRIVEL,3.0,ACETAMIPRIDO,princípio ativo
BROUSER,BROWSER,1.0,PICLORAM,princípio ativo
INIBIDOR DA ACHE,INSSIMO,4.0,ACIBENZOLAR-S-METILICO,princípio ativo
VETANCID PO,VERANEIO,3.0,BACULOVIRUS HANPV,princípio ativo
AMPLICTIL 25MG,AMPLIGO ,4.0,LAMBDA-CIALOTRINA+CLORANTRANILIPROLE,princípio ativo
MELATHIN,MELTAN,3.0,FLUTRIAFOL,princípio ativo
DELTRAMITRINA,DELTA TECNICO,8.0,DELTAMETRINA,princípio ativo
MOUNDUP ORIGINAL,MONCUT,3.0,FLUTOLANIL,princípio ativo
CLASSIC 80 GRS,LANTIC,3.0,CARBENDAZIM,princípio ativo
BROMAZEPAM,BIO ZENON,6.0,TRICHODERMA HARZIANUM,princípio ativo
PARALGUAT,SPRAYQUAT,4.0,PARAQUAT,princípio ativo
DNA6,NAN,2.0,NAN,princípio ativo
IMPACT 125,INVICT,3.0,AZOXISTROBINA,princípio ativo
REGENTE / ECITALOPRAN 10 MG,PRESENCE,3.0,BACILLUS LICHENIFORMIS,princípio ativo
PSICOTROPICO,PILARICO,6.0,NICOSSULFUROM,princípio ativo
